population size, 35
world simulation time, 50
world size, 25 by 25

gen, mean, max, min, fitness one agent worlds, fitness description, nn description
0, 0.261, 3.429, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
1, 0.229, 4.571, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
2, 1.045, 3.429, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
3, 1.208, 5.714, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
4, 1.665, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
5, 1.829, 5.714, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
6, 1.110, 5.714, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
7, 2.155, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
8, 3.429, 10.286, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
9, 4.343, 8.000, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
10, 4.833, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
11, 4.441, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
